"Tarih","Toplam Test Sayısı","Toplam Vaka Sayısı","Toplam Vefat Sayısı","Hastalarda Zatürre Oranı (%)","Ağır Hasta Sayısı","Toplam İyileşen Hasta Sayısı","Bugünkü Vaka Sayısı","Bugünkü Hasta Sayısı","Bugünkü Test Sayısı","Bugünkü Vefat Sayısı","Bugünkü İyileşen Sayısı"
"   23 NİSAN 2021  "," 45.342.795 "," 4.550.820 "," 37.672 "," 2,9 "," 3.475 "," 3.970.111 "," 49.438 "," 3.089 "," 302.091 "," 343 "," 60.176 "
"   22 NİSAN 2021  "," 45.040.704 "," 4.501.382 "," 37.329 "," 2,9 "," 3.463 "," 3.909.935 "," 54.791 "," 3.128 "," 312.109 "," 354 "," 65.593 "
"   21 NİSAN 2021  "," 44.728.595 "," 4.446.591 "," 36.975 "," 2,9 "," 3.398 "," 3.844.342 "," 61.967 "," 2.932 "," 318.839 "," 362 "," 52.213 "
"   20 NİSAN 2021  "," 44.409.756 "," 4.384.624 "," 36.613 "," 2,9 "," 3.375 "," 3.792.129 "," 61.028 "," 2.895 "," 322.128 "," 346 "," 55.592 "
"   19 NİSAN 2021  "," 44.087.628 "," 4.323.596 "," 36.267 "," 2,9 "," 3.319 "," 3.736.537 "," 55.149 "," 2.862 "," 318.869 "," 341 "," 48.947 "
"   18 NİSAN 2021  "," 43.768.759 "," 4.268.447 "," 35.926 "," 3,3 "," 3.275 "," 3.687.590 "," 55.802 "," 3.101 "," 301.243 "," 318 "," 43.856 "
"   17 NİSAN 2021  "," 43.467.516 "," 4.212.645 "," 35.608 "," 3,3 "," 3.240 "," 3.643.734 "," 62.606 "," 2.973 "," 319.316 "," 288 "," 52.184 "
"   16 NİSAN 2021  "," 43.148.200 "," 4.150.039 "," 35.320 "," 3,3 "," 3.205 "," 3.591.550 "," 63.082 "," 2.915 "," 320.078 "," 289 "," 56.510 "
"   15 NİSAN 2021  "," 42.828.122 "," 4.086.957 "," 35.031 "," 3,3 "," 3.080 "," 3.535.040 "," 61.400 "," 2.845 "," 318.217 "," 297 "," 54.894 "
"   14 NİSAN 2021  "," 42.509.905 "," 4.025.557 "," 34.734 "," 3,3 "," 3.018 "," 3.480.146 "," 62.797 "," 2.802 "," 310.420 "," 279 "," 55.413 "
"   13 NİSAN 2021  "," 42.199.485 "," 3.962.760 "," 34.455 "," 3,3 "," 2.951 "," 3.424.733 "," 59.187 "," 2.723 "," 306.563 "," 273 "," 52.104 "
"   12 NİSAN 2021  "," 41.892.922 "," 3.903.573 "," 34.182 "," 3,3 "," 2.891 "," 3.372.629 "," 54.562 "," 2.671 "," 301.068 "," 243 "," 41.218 "
"   11 NİSAN 2021  "," 41.591.854 "," 3.849.011 "," 33.939 "," 3,1 "," 2.824 "," 3.331.411 "," 50.678 "," 2.548 "," 294.274 "," 237 "," 30.194 "
"   10 NİSAN 2021  "," 41.297.580 "," 3.798.333 "," 33.702 "," 3,1 "," 2.739 "," 3.301.217 "," 52.676 "," 2.497 "," 302.735 "," 248 "," 32.539 "
"   9 NİSAN 2021  "," 40.994.845 "," 3.745.657 "," 33.454 "," 3,1 "," 2.658 "," 3.268.678 "," 55.791 "," 2.408 "," 305.103 "," 253 "," 35.786 "
"   8 NİSAN 2021  "," 40.689.742 "," 3.689.866 "," 33.201 "," 3,1 "," 2.615 "," 3.232.892 "," 55.941 "," 2.316 "," 304.492 "," 258 "," 37.914 "
"   7 NİSAN 2021  "," 40.385.250 "," 3.633.925 "," 32.943 "," 3,1 "," 2.604 "," 3.194.978 "," 54.740 "," 2.203 "," 302.108 "," 276 "," 35.503 "
"   6 NİSAN 2021  "," 40.083.142 "," 3.579.185 "," 32.667 "," 3,1 "," 2.477 "," 3.159.475 "," 49.584 "," 2.003 "," 271.547 "," 211 "," 28.498 "
"   5 NİSAN 2021  "," 39.811.595 "," 3.529.601 "," 32.456 "," 3,1 "," 2.407 "," 3.130.977 "," 42.551 "," 1.706 "," 245.496 "," 193 "," 25.627 "
"   4 NİSAN 2021  "," 39.566.099 "," 3.487.050 "," 32.263 "," 3,6 "," 2.311 "," 3.105.350 "," 41.998 "," 1.508 "," 246.210 "," 185 "," 22.674 "
"   3 NİSAN 2021  "," 39.319.889 "," 3.445.052 "," 32.078 "," 3,6 "," 2.231 "," 3.082.676 "," 44.756 "," 1.483 "," 249.126 "," 186 "," 23.214 "
"   2 NİSAN 2021  "," 39.070.763 "," 3.400.296 "," 31.892 "," 3,6 "," 2.182 "," 3.059.462 "," 42.308 "," 1.471 "," 248.968 "," 179 "," 24.419 "
"   1 NİSAN 2021  "," 38.821.795 "," 3.357.988 "," 31.713 "," 3,6 "," 2.135 "," 3.035.043 "," 40.806 "," 1.424 "," 243.738 "," 176 "," 20.817 "
"   31 MART 2021  "," 38.578.057 "," 3.317.182 "," 31.537 "," 3,6 "," 2.082 "," 3.014.226 "," 39.302 "," 1.401 "," 240.012 "," 152 "," 19.193 "
"   30 MART 2021  "," 38.338.045 "," 3.277.880 "," 31.385 "," 3,6 "," 2.054 "," 2.995.033 "," 37.303 "," 1.376 "," 235.298 "," 155 "," 19.925 "
"   29 MART 2021  "," 38.102.747 "," 3.240.577 "," 31.230 "," 3,6 "," 1.998 "," 2.975.108 "," 32.404 "," 1.325 "," 225.511 "," 154 "," 18.015 "
"   28 MART 2021  "," 37.877.236 "," 3.208.173 "," 31.076 "," 4,2 "," 1.968 "," 2.957.093 "," 29.058 "," 1.305 "," 220.109 "," 153 "," 17.164 "
"   27 MART 2021  "," 37.657.127 "," 3.179.115 "," 30.923 "," 4,2 "," 1.886 "," 2.939.929 "," 30.021 "," 1.281 "," 223.214 "," 151 "," 18.892 "
"   26 MART 2021  "," 37.433.913 "," 3.149.094 "," 30.772 "," 4,2 "," 1.810 "," 2.921.037 "," 29.081 "," 1.253 "," 220.985 "," 153 "," 20.208 "
"   25 MART 2021  "," 37.212.928 "," 3.120.013 "," 30.619 "," 4,2 "," 1.790 "," 2.900.829 "," 28.731 "," 1.210 "," 222.753 "," 157 "," 19.186 "
"   24 MART 2021  "," 36.990.175 "," 3.091.282 "," 30.462 "," 4,2 "," 1.720 "," 2.881.643 "," 29.762 "," 1.142 "," 221.738 "," 146 "," 17.761 "
"   23 MART 2021  "," 36.768.437 "," 3.061.520 "," 30.316 "," 4,2 "," 1.710 "," 2.863.882 "," 26.182 "," 1.006 "," 211.848 "," 138 "," 19.201 "
"   22 MART 2021  "," 36.556.589 "," 3.035.338 "," 30.178 "," 4,2 "," 1.644 "," 2.844.681 "," 22.216 "," 981 "," 201.215 "," 117 "," 19.494 "
"   21 MART 2021  "," 36.355.374 "," 3.013.122 "," 30.061 "," 3,2 "," 1.568 "," 2.825.187 "," 20.428 "," 965 "," 189.906 "," 102 "," 17.615 "
"   20 MART 2021  "," 36.165.468 "," 2.992.694 "," 29.959 "," 3,2 "," 1.538 "," 2.807.572 "," 21.061 "," 958 "," 190.129 "," 95 "," 18.815 "
"   19 MART 2021  "," 35.975.339 "," 2.971.633 "," 29.864 "," 3,2 "," 1.547 "," 2.788.757 "," 21.030 "," 934 "," 187.859 "," 87 "," 18.119 "
"   18 MART 2021  "," 35.787.480 "," 2.950.603 "," 29.777 "," 3,2 "," 1.503 "," 2.770.638 "," 20.049 "," 902 "," 184.452 "," 81 "," 18.615 "
"   17 MART 2021  "," 35.603.028 "," 2.930.554 "," 29.696 "," 3,2 "," 1.484 "," 2.752.023 "," 18.912 "," 869 "," 167.526 "," 73 "," 17.161 "
"   16 MART 2021  "," 35.435.502 "," 2.911.642 "," 29.623 "," 3,2 "," 1.474 "," 2.734.862 "," 16.749 "," 874 "," 158.386 "," 71 "," 17.893 "
"   15 MART 2021  "," 35.277.116 "," 2.894.893 "," 29.552 "," 3,2 "," 1.425 "," 2.716.969 "," 15.503 "," 858 "," 151.113 "," 63 "," 15.893 "
"   14 MART 2021  "," 35.126.003 "," 2.879.390 "," 29.489 "," 3,8 "," 1.392 "," 2.701.076 "," 13.378 "," 852 "," 132.425 "," 68 "," 15.516 "
"   13 MART 2021  "," 34.993.578 "," 2.866.012 "," 29.421 "," 3,8 "," 1.350 "," 2.685.560 "," 15.082 "," 841 "," 150.098 "," 65 "," 15.287 "
"   12 MART 2021  "," 34.843.480 "," 2.850.930 "," 29.356 "," 3,8 "," 1.349 "," 2.670.273 "," 14.941 "," 834 "," 148.856 "," 66 "," 11.180 "
"   11 MART 2021  "," 34.694.624 "," 2.835.989 "," 29.290 "," 3,8 "," 1.310 "," 2.659.093 "," 14.046 "," 821 "," 146.386 "," 63 "," 9.231 "
"   10 MART 2021  "," 34.548.238 "," 2.821.943 "," 29.227 "," 3,8 "," 1.309 "," 2.649.862 "," 14.556 "," 814 "," 145.130 "," 67 "," 9.193 "
"   9 MART 2021  "," 34.403.108 "," 2.807.387 "," 29.160 "," 3,8 "," 1.289 "," 2.640.669 "," 13.755 "," 801 "," 140.828 "," 66 "," 8.639 "
"   8 MART 2021  "," 34.262.280 "," 2.793.632 "," 29.094 "," 3,8 "," 1.239 "," 2.632.030 "," 13.215 "," 767 "," 139.429 "," 64 "," 8.106 "
"   7 MART 2021  "," 34.122.851 "," 2.780.417 "," 29.030 "," 3,6 "," 1.261 "," 2.623.924 "," 11.187 "," 735 "," 129.299 "," 65 "," 7.785 "
"   6 MART 2021  "," 33.993.552 "," 2.769.230 "," 28.965 "," 3,6 "," 1.230 "," 2.616.139 "," 11.770 "," 702 "," 138.592 "," 64 "," 7.291 "
"   5 MART 2021  "," 33.854.960 "," 2.757.460 "," 28.901 "," 3,6 "," 1.232 "," 2.608.848 "," 11.302 "," 698 "," 138.214 "," 62 "," 7.711 "
"   4 MART 2021  "," 33.716.746 "," 2.746.158 "," 28.839 "," 3,6 "," 1.220 "," 2.601.137 "," 11.322 "," 685 "," 137.885 "," 68 "," 7.873 "
"   3 MART 2021  "," 33.578.861 "," 2.734.836 "," 28.771 "," 3,6 "," 1.224 "," 2.593.264 "," 11.520 "," 689 "," 138.018 "," 65 "," 7.191 "
"   2 MART 2021  "," 33.440.843 "," 2.723.316 "," 28.706 "," 3,6 "," 1.227 "," 2.586.073 "," 11.837 "," 668 "," 135.291 "," 68 "," 7.892 "
"   1 MART 2021  "," 33.305.552 "," 2.711.479 "," 28.638 "," 3,6 "," 1.215 "," 2.578.181 "," 9.891 "," 645 "," 130.536 "," 69 "," 5.947 "
"   28 ŞUBAT 2021  "," 33.175.016 "," 2.701.588 "," 28.569 "," 4,2 "," 1.191 "," 2.572.234 "," 8.424 "," 610 "," 109.639 "," 66 "," 6.511 "
"   27 ŞUBAT 2021  "," 33.065.377 "," 2.693.164 "," 28.503 "," 4,2 "," 1.187 "," 2.565.723 "," 9.193 "," 621 "," 125.716 "," 71 "," 8.938 "
"   26 ŞUBAT 2021  "," 32.939.661 "," 2.683.971 "," 28.432 "," 4,2 "," 1.195 "," 2.556.785 "," 9.205 "," 649 "," 128.387 "," 74 "," 10.282 "
"   25 ŞUBAT 2021  "," 32.811.274 "," 2.674.766 "," 28.358 "," 4,2 "," 1.192 "," 2.546.503 "," 9.572 "," 658 "," 126.527 "," 73 "," 6.210 "
"   24 ŞUBAT 2021  "," 32.684.747 "," 2.665.194 "," 28.285 "," 4,2 "," 1.200 "," 2.540.293 "," 9.561 "," 660 "," 124.015 "," 72 "," 5.297 "
"   23 ŞUBAT 2021  "," 32.560.732 "," 2.655.633 "," 28.213 "," 4,2 "," 1.185 "," 2.534.996 "," 9.107 "," 633 "," 123.734 "," 75 "," 5.546 "
"   22 ŞUBAT 2021  "," 32.436.998 "," 2.646.526 "," 28.138 "," 4,2 "," 1.189 "," 2.529.450 "," 8.104 "," 623 "," 118.816 "," 78 "," 5.690 "
"   21 ŞUBAT 2021  "," 32.318.182 "," 2.638.422 "," 28.060 "," 3,6 "," 1.185 "," 2.523.760 "," 6.546 "," 601 "," 101.105 "," 77 "," 5.002 "
"   20 ŞUBAT 2021  "," 32.217.077 "," 2.631.876 "," 27.983 "," 3,6 "," 1.180 "," 2.518.758 "," 7.857 "," 635 "," 118.911 "," 80 "," 7.210 "
"   19 ŞUBAT 2021  "," 32.098.166 "," 2.624.019 "," 27.903 "," 3,6 "," 1.185 "," 2.511.548 "," 7.419 "," 638 "," 116.674 "," 82 "," 7.498 "
"   18 ŞUBAT 2021  "," 31.981.492 "," 2.616.600 "," 27.821 "," 3,6 "," 1.187 "," 2.504.050 "," 7.241 "," 640 "," 115.406 "," 83 "," 7.217 "
"   17 ŞUBAT 2021  "," 31.866.086 "," 2.609.359 "," 27.738 "," 3,6 "," 1.193 "," 2.496.833 "," 7.325 "," 649 "," 117.121 "," 86 "," 7.209 "
"   16 ŞUBAT 2021  "," 31.748.965 "," 2.602.034 "," 27.652 "," 3,6 "," 1.201 "," 2.489.624 "," 7.906 "," 658 "," 115.794 "," 90 "," 7.189 "
"   15 ŞUBAT 2021  "," 31.633.171 "," 2.594.128 "," 27.562 "," 3,6 "," 1.232 "," 2.482.435 "," 7.945 "," 660 "," 116.452 "," 91 "," 7.106 "
"   14 ŞUBAT 2021  "," 31.516.719 "," 2.586.183 "," 27.471 "," 3,7 "," 1.230 "," 2.475.329 "," 6.287 "," 666 "," 104.108 "," 94 "," 6.910 "
"   13 ŞUBAT 2021  "," 31.412.611 "," 2.579.896 "," 27.377 "," 3,7 "," 1.235 "," 2.468.419 "," 7.706 "," 671 "," 123.305 "," 93 "," 7.215 "
"   12 ŞUBAT 2021  "," 31.289.306 "," 2.572.190 "," 27.284 "," 3,7 "," 1.250 "," 2.461.204 "," 7.763 "," 667 "," 129.630 "," 97 "," 8.108 "
"   11 ŞUBAT 2021  "," 31.159.676 "," 2.564.427 "," 27.187 "," 3,7 "," 1.256 "," 2.453.096 "," 7.590 "," 660 "," 130.313 "," 94 "," 7.811 "
"   10 ŞUBAT 2021  "," 31.029.363 "," 2.556.837 "," 27.093 "," 3,7 "," 1.308 "," 2.445.285 "," 8.642 "," 664 "," 135.867 "," 95 "," 7.903 "
"   9 ŞUBAT 2021  "," 30.893.496 "," 2.548.195 "," 26.998 "," 3,7 "," 1.310 "," 2.437.382 "," 8.636 "," 659 "," 137.712 "," 98 "," 8.109 "
"   8 ŞUBAT 2021  "," 30.755.784 "," 2.539.559 "," 26.900 "," 3,7 "," 1.310 "," 2.429.273 "," 8.103 "," 632 "," 139.378 "," 103 "," 8.567 "
"   7 ŞUBAT 2021  "," 30.616.406 "," 2.531.456 "," 26.797 "," 4,9 "," 1.317 "," 2.420.706 "," 6.670 "," 623 "," 129.715 "," 112 "," 8.201 "
"   6 ŞUBAT 2021  "," 30.486.691 "," 2.524.786 "," 26.685 "," 4,9 "," 1.337 "," 2.412.505 "," 7.897 "," 618 "," 137.649 "," 108 "," 8.089 "
"   5 ŞUBAT 2021  "," 30.349.042 "," 2.516.889 "," 26.577 "," 4,9 "," 1.423 "," 2.404.416 "," 7.901 "," 620 "," 142.538 "," 110 "," 8.217 "
"   4 ŞUBAT 2021  "," 30.206.504 "," 2.508.988 "," 26.467 "," 4,9 "," 1.501 "," 2.396.199 "," 7.909 "," 627 "," 145.067 "," 113 "," 8.815 "
"   3 ŞUBAT 2021  "," 30.061.437 "," 2.501.079 "," 26.354 "," 4,9 "," 1.523 "," 2.387.384 "," 8.102 "," 632 "," 148.192 "," 117 "," 8.314 "
"   2 ŞUBAT 2021  "," 29.913.245 "," 2.492.977 "," 26.237 "," 4,9 "," 1.592 "," 2.379.070 "," 7.795 "," 630 "," 140.120 "," 120 "," 8.639 "
"   1 ŞUBAT 2021  "," 29.773.125 "," 2.485.182 "," 26.117 "," 4,9 "," 1.615 "," 2.370.431 "," 7.719 "," 636 "," 141.703 "," 124 "," 8.016 "
"   31 OCAK 2021  "," 29.631.422 "," 2.477.463 "," 25.993 "," 4,7 "," 1.634 "," 2.362.415 "," 6.562 "," 641 "," 136.418 "," 128 "," 7.006 "
"   30 OCAK 2021  "," 29.495.004 "," 2.470.901 "," 25.865 "," 4.7 "," 1.692 "," 2.355.409 "," 6.871 "," 658 "," 148.785 "," 129 "," 7.100 "
"   29 OCAK 2021  "," 29.346.219 "," 2.464.030 "," 25.736 "," 4,7 "," 1.740 "," 2.348.309 "," 6.912 "," 664 "," 165.094 "," 131 "," 8.093 "
"   28 OCAK 2021  "," 29.181.125 "," 2.457.118 "," 25.605 "," 4,7 "," 1.751 "," 2.340.216 "," 7.279 "," 670 "," 173.210 "," 129 "," 8.902 "
"   27 OCAK 2021  "," 29.007.915 "," 2.449.839 "," 25.476 "," 4,7 "," 1.765 "," 2.331.314 "," 7.489 "," 675 "," 179.419 "," 132 "," 8.803 "
"   26 OCAK 2021  "," 28.828.496 "," 2.442.350 "," 25.344 "," 4,7 "," 1.791 "," 2.322.511 "," 7.103 "," 681 "," 180.303 "," 134 "," 8.108 "
"   25 OCAK 2021  "," 28.648.193 "," 2.435.247 "," 25.210 "," 4,7 "," 1.808 "," 2.314.403 "," 5.642 "," 671 "," 151.109 "," 137 "," 6.682 "
"   24 OCAK 2021  "," 28.497.084 "," 2.429.605 "," 25.073 "," 5,1 "," 1.905 "," 2.307.721 "," 5.277 "," 684 "," 148.425 "," 140 "," 5.860 "
"   23 OCAK 2021  "," 28.348.659 "," 2.424.328 "," 24.933 "," 5,1 "," 1.962 "," 2.301.861 "," 5.856 "," 723 "," 152.758 "," 144 "," 5.811 "
"   22 OCAK 2021  "," 28.195.901 "," 2.418.472 "," 24.789 "," 5,1 "," 2.003 "," 2.296.050 "," 5.967 "," 734 "," 163.342 "," 149 "," 6.018 "
"   21 OCAK 2021  "," 28.032.559 "," 2.412.505 "," 24.640 "," 5,1 "," 2.074 "," 2.290.032 "," 6.289 "," 743 "," 165.109 "," 153 "," 6.113 "
"   20 OCAK 2021  "," 27.867.450 "," 2.406.216 "," 24.487 "," 5,1 "," 2.102 "," 2.283.919 "," 6.435 "," 752 "," 168.894 "," 159 "," 5.932 "
"   19 OCAK 2021  "," 27.698.556 "," 2.399.781 "," 24.328 "," 5,1 "," 2.162 "," 2.277.987 "," 6.818 "," 761 "," 175.133 "," 167 "," 7.218 "
"   18 OCAK 2021  "," 27.523.423 "," 2.392.963 "," 24.161 "," 5,1 "," 2.183 "," 2.270.769 "," 5.862 "," 749 "," 151.342 "," 164 "," 7.905 "
"   17 OCAK 2021  "," 27.372.081 "," 2.387.101 "," 23.997 "," 4,5 "," 2.201 "," 2.262.864 "," 6.436 "," 803 "," 148.636 "," 165 "," 8.812 "
"   16 OCAK 2021  "," 27.223.445 "," 2.380.665 "," 23.832 "," 4,5 "," 2.265 "," 2.254.052 "," 7.550 "," 902 "," 156.792 "," 168 "," 8.005 "
"   15 OCAK 2021  "," 27.066.653 "," 2.373.115 "," 23.664 "," 4,5 "," 2.311 "," 2.246.047 "," 8.314 "," 921 "," 167.211 "," 169 "," 9.109 "
"   14 OCAK 2021  "," 26.899.442 "," 2.364.801 "," 23.495 "," 4,5 "," 2.512 "," 2.236.938 "," 8.962 "," 958 "," 169.847 "," 170 "," 9.011 "
"   13 OCAK 2021  "," 26.729.595 "," 2.355.839 "," 23.325 "," 4,5 "," 2.652 "," 2.227.927 "," 9.554 "," 971 "," 173.603 "," 173 "," 9.463 "
"   12 OCAK 2021  "," 26.555.992 "," 2.346.285 "," 23.152 "," 4,5 "," 2.701 "," 2.218.464 "," 9.809 "," 983 "," 179.208 "," 171 "," 10.013 "
"   11 OCAK 2021  "," 26.376.784 "," 2.336.476 "," 22.981 "," 4,5 "," 2.783 "," 2.208.451 "," 10.220 "," 1.003 "," 180.303 "," 174 "," 10.301 "
"   10 OCAK 2021  "," 26.196.481 "," 2.326.256 "," 22.807 "," 4,3 "," 2.811 "," 2.198.150 "," 9.138 "," 1.017 "," 162.786 "," 176 "," 8.103 "
"   9 OCAK 2021  "," 26.033.695 "," 2.317.118 "," 22.631 "," 4,3 "," 2.903 "," 2.190.047 "," 9.537 "," 1.103 "," 168.289 "," 181 "," 7.902 "
"   8 OCAK 2021  "," 25.865.406 "," 2.307.581 "," 22.450 "," 4,3 "," 3.094 "," 2.182.145 "," 11.479 "," 1.291 "," 184.193 "," 186 "," 9.894 "
"   7 OCAK 2021  "," 25.681.213 "," 2.296.102 "," 22.264 "," 4,3 "," 3.201 "," 2.172.251 "," 12.171 "," 1.370 "," 183.003 "," 194 "," 8.211 "
"   6 OCAK 2021  "," 25.498.210 "," 2.283.931 "," 22.070 "," 4,3 "," 3.303 "," 2.164.040 "," 13.830 "," 1.458 "," 182.645 "," 191 "," 8.702 "
"   5 OCAK 2021  "," 25.315.565 "," 2.270.101 "," 21.879 "," 4,3 "," 3.410 "," 2.155.338 "," 14.494 "," 1.477 "," 183.413 "," 194 "," 8.908 "
"   4 OCAK 2021  "," 25.132.152 "," 2.255.607 "," 21.685 "," 4,3 "," 3.522 "," 2.146.430 "," 13.695 "," 1.508 "," 181.323 "," 197 "," 9.896 "
"   3 OCAK 2021  "," 24.950.829 "," 2.241.912 "," 21.488 "," 3,8 "," 3.612 "," 2.136.534 "," 9.877 "," 1.515 "," 138.941 "," 193 "," 10.102 "
"   2 OCAK 2021  "," 24.811.888 "," 2.232.035 "," 21.295 "," 3,8 "," 3.764 "," 2.126.432 "," 11.180 "," 1.713 "," 149.218 "," 202 "," 11.672 "
"   1 OCAK 2021  "," 24.662.670 "," 2.220.855 "," 21.093 "," 3,8 "," 3.891 "," 2.114.760 "," 12.203 "," 1.908 "," 158.103 "," 212 "," 14.110 "
"   31 ARALIK 2020  "," 24.504.567 "," 2.208.652 "," 20.881 "," 3,8 "," 3.918 "," 2.100.650 "," 14.380 "," 2.219 "," 178.217 "," 239 "," 22.021 "
"   30 ARALIK 2020  "," 24.326.350 "," 2.194.272 "," 20.642 "," 3,8 "," 4.098 "," 2.078.629 "," 15.692 "," 2.612 "," 184.415 "," 254 "," 20.192 "
"   29 ARALIK 2020  "," 24.141.935 "," 2.178.580 "," 20.388 "," 3,8 "," 4.191 "," 2.058.437 "," 15.805 "," 2.783 "," 183.117 "," 253 "," 21.004 "
"   28 ARALIK 2020  "," 23.958.818 "," 2.162.775 "," 20.135 "," 3,8 "," 4.251 "," 2.037.433 "," 15.197 "," 2.816 "," 180.892 "," 257 "," 22.203 "
"   27 ARALIK 2020  "," 23.777.926 "," 2.147.578 "," 19.878 "," 4,1 "," 4.309 "," 2.015.230 "," 14.205 "," 2.806 "," 172.113 "," 254 "," 21.196 "
"   26 ARALIK 2020  "," 23.605.813 "," 2.133.373 "," 19.624 "," 4,1 "," 4.501 "," 1.994.034 "," 15.118 "," 3.002 "," 178.872 "," 253 "," 23.231 "
"   25 ARALIK 2020  "," 23.426.941 "," 2.118.255 "," 19.371 "," 4,1 "," 4.702 "," 1.970.803 "," 17.543 "," 3.199 "," 201.104 "," 256 "," 35.511 "
"   24 ARALIK 2020  "," 23.225.837 "," 2.100.712 "," 19.115 "," 4,1 "," 4.805 "," 1.935.292 "," 18.102 "," 3.218 "," 195.675 "," 254 "," 33.985 "
"   23 ARALIK 2020  "," 23.030.162 "," 2.082.610 "," 18.861 "," 4,1 "," 4.901 "," 1.901.307 "," 19.650 "," 3.192 "," 202.209 "," 259 "," 34.492 "
